file 1	file 2	# same commits	# commits file 1	# commits file 2
zeeguu/core/model/article_upload.py	zeeguu/api/endpoints/article_upload.py	7	9	11
zeeguu/core/friends/listeners.py	zeeguu/api/endpoints/daily_streak.py	7	13	58
zeeguu/core/model/user_avatar.py	zeeguu/core/account_management/user_account_creation.py	7	15	51
zeeguu/core/model/friendship.py	zeeguu/core/model/__init__.py	7	9	127
zeeguu/core/account_management/user_account_deletion.py	zeeguu/api/endpoints/friends.py	7	26	85
zeeguu/core/model/user_language.py	zeeguu/api/endpoints/user.py	7	60	101
zeeguu/core/leaderboards/leaderboards.py	zeeguu/api/endpoints/user.py	7	16	101
zeeguu/core/model/friendship.py	zeeguu/api/endpoints/daily_streak.py	7	9	58
zeeguu/api/endpoints/daily_streak.py	tools/migrations/26-02-24-friendship_system.sql	7	58	35
zeeguu/core/model/friend_request.py	zeeguu/api/endpoints/daily_streak.py	7	43	58
zeeguu/core/model/friendship.py	zeeguu/core/account_management/user_account_deletion.py	7	9	26
zeeguu/core/model/__init__.py	zeeguu/core/leaderboards/leaderboards.py	7	127	16
zeeguu/core/model/__init__.py	tools/migrations/26-02-24-friendship_system.sql	7	127	35
zeeguu/core/badges/badge_progress.py	tools/migrations/26-02-19-b--insert_default_badges.sql	6	26	11
tools/migrations/26-02-24-b--add_username.py	tools/migrations/26-02-24-a--add_username.sql	6	16	6
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/badges/listeners.py	6	39	21
zeeguu/core/badges/badge_progress.py	tools/migrations/26-02-19-a--add_badges.sql	6	26	10
tools/migrations/26-02-19-a--add_badges.sql	zeeguu/api/endpoints/badges.py	6	10	53
zeeguu/core/model/user_avatar.py	zeeguu/core/model/user.py	6	15	206
tools/migrations/26-02-19-b--insert_default_badges.sql	zeeguu/api/endpoints/badges.py	6	11	53
zeeguu/core/model/__init__.py	zeeguu/core/model/user.py	6	127	206
zeeguu/core/badges/listeners.py	zeeguu/core/model/user.py	6	21	206
tools/migrations/26-02-24-friendship_system.sql	zeeguu/core/model/user.py	6	35	206
zeeguu/core/badges/badge_progress.py	zeeguu/api/endpoints/badges.py	6	26	53
zeeguu/core/model/user_language.py	zeeguu/api/endpoints/badges.py	6	60	53
zeeguu/core/model/badge.py	tools/migrations/26-02-19-b--insert_default_badges.sql	6	23	11
zeeguu/core/badges/listeners.py	tools/migrations/26-02-24-b--add_username.py	6	21	16
zeeguu/core/model/badge.py	zeeguu/core/badges/listeners.py	6	23	21
zeeguu/core/model/badge.py	tools/migrations/26-02-19-a--add_badges.sql	6	23	10
zeeguu/core/model/badge.py	zeeguu/core/badges/badge_progress.py	6	23	26
zeeguu/core/model/user.py	zeeguu/api/endpoints/badges.py	5	206	53
zeeguu/core/model/user_language.py	zeeguu/core/badges/badge_progress.py	5	60	26
zeeguu/core/model/user_language.py	zeeguu/core/leaderboards/leaderboards.py	5	60	16
tools/migrations/26-02-24-friendship_system.sql	tools/migrations/26-02-24-b--add_username.py	5	35	16
zeeguu/core/model/friendship.py	zeeguu/core/model/user.py	5	9	206
tools/migrations/26-02-24-b--add_username.py	tools/migrations/26-02-19-b--insert_default_badges.sql	5	16	11
zeeguu/api/endpoints/daily_streak.py	zeeguu/core/model/user.py	5	58	206
zeeguu/core/model/user_language.py	zeeguu/api/endpoints/daily_streak.py	5	60	58
zeeguu/core/model/user_language.py	zeeguu/core/model/friendship.py	5	60	9
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	tools/migrations/26-02-19-a--add_badges.sql	5	39	10
tools/migrations/26-02-24-b--add_username.py	tools/migrations/26-02-19-a--add_badges.sql	5	16	10
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	tools/migrations/26-02-19-b--insert_default_badges.sql	5	39	11
zeeguu/core/account_management/user_account_deletion.py	zeeguu/core/model/user.py	5	26	206
zeeguu/core/model/user_language.py	zeeguu/core/model/__init__.py	5	60	127
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/model/user_language.py	4	39	60
zeeguu/core/model/badge_category.py	zeeguu/api/endpoints/badges.py	4	4	53
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/badges/badge_progress.py	4	39	26
zeeguu/core/model/__init__.py	tools/migrations/26-02-19-b--insert_default_badges.sql	4	127	11
zeeguu/core/badges/badge_progress.py	tools/migrations/26-02-24-b--add_username.py	4	26	16
zeeguu/core/account_management/user_account_deletion.py	tools/migrations/26-02-19-b--insert_default_badges.sql	4	26	11
zeeguu/core/model/badge_category.py	tools/migrations/26-02-19-b--insert_default_badges.sql	4	4	11
zeeguu/core/badges/badge_progress.py	zeeguu/core/account_management/user_account_deletion.py	4	26	26
zeeguu/core/model/badge_category.py	zeeguu/core/badges/badge_progress.py	4	4	26
zeeguu/core/model/user_badge_progress.py	zeeguu/api/endpoints/badges.py	4	9	53
zeeguu/core/model/friend_request.py	zeeguu/core/badges/badge_progress.py	4	43	26
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/model/friend_request.py	4	39	43
zeeguu/core/model/badge_category.py	zeeguu/core/badges/listeners.py	4	4	21
zeeguu/api/endpoints/leaderboards.py	zeeguu/api/endpoints/friends.py	4	13	85
