Path	Lines of Code
tools/migrations/26-02-09--add_streak_to_user_language.sql	8
tools/migrations/26-02-10--add_monthly_active_users_cache.sql	7
tools/migrations/26-02-10-a--add_monthly_activity_stats_cache.sql	10
tools/migrations/26-02-12--add_meaning_level_note.sql	3
tools/migrations/26-02-12-a--add_meaning_report.sql	13
tools/migrations/26-02-13--add_exercise_report.sql	15
tools/migrations/26-02-16--security_fixes.sql	2
tools/migrations/26-02-16-b--set_existing_users_verified.sql	1
tools/migrations/26-02-17--simplify_translation_search.sql	11
tools/migrations/26-02-19-a--add_badges.sql	39
tools/migrations/26-02-19-b--insert_default_badges.sql	45
tools/migrations/26-02-24-a--add_username.sql	2
tools/migrations/26-02-24-b--add_username.py	88
tools/migrations/26-02-24-c--add_username.sql	4
tools/migrations/26-02-24-friendship_system.sql	19
tools/migrations/26-02-26--add_max_streak_to_user_language.sql	7
tools/migrations/26-03-13--add_user_avatar.sql	9
tools/migrations/26-03-13--fix_exercise_report_reason_enum.sql	2
tools/migrations/26-03-31--add_topic_suggestion_to_audio_lessons.sql	6
tools/migrations/26-04-03--add_suggestion_type.sql	6
tools/migrations/26-04-03-b--rename_topic_suggestion_to_suggestion.sql	4
tools/migrations/26-04-03-c--add_audio_lesson_dialogue.sql	22
tools/migrations/26-04-05--drop_suggestion_from_audio_lesson_meaning.sql	13
tools/migrations/26-04-07--add_language_id_to_exercise_and_browsing_sessions.sql	2
tools/migrations/26-04-11--add_user_timezone.sql	2
tools/migrations/26-04-14--add_article_upload.sql	22
tools/migrations/26-04-15--update_user_name_email_collation.sql	3
