Metric		Current
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CFG		64
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TOML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TOML		38
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_IN		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_IN		1
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		497
LOW_RISK_FILE_SIZE_COUNT		95
MEDIUM_RISK_FILE_SIZE_COUNT		45
HIGH_RISK_FILE_SIZE_COUNT		8
VERY_HIGH_RISK_FILE_SIZE_COUNT		5
NEGLIGIBLE_RISK_FILE_SIZE_LOC		15,284
LOW_RISK_FILE_SIZE_LOC		13,613
MEDIUM_RISK_FILE_SIZE_LOC		12,741
HIGH_RISK_FILE_SIZE_LOC		4,801
VERY_HIGH_RISK_FILE_SIZE_LOC		11,874
NUMBER_OF_UNITS		2,303
LINES_OF_CODE_IN_UNITS		30,405
LINES_OF_CODE_OUTSIDE_UNITS		27,908
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		7,417
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		24.39
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		1,531
UNIT_SIZE_LOW_RISK_LOC		5,384
UNIT_SIZE_LOW_RISK_PERCENTAGE		17.71
UNIT_SIZE_LOW_RISK_COUNT		375
UNIT_SIZE_MEDIUM_RISK_LOC		9,594
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		31.55
UNIT_SIZE_MEDIUM_RISK_COUNT		300
UNIT_SIZE_HIGH_RISK_LOC		4,965
UNIT_SIZE_HIGH_RISK_PERCENTAGE		16.33
UNIT_SIZE_HIGH_RISK_COUNT		74
UNIT_SIZE_VERY_HIGH_RISK_LOC		3,045
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		10.01
UNIT_SIZE_VERY_HIGH_RISK_COUNT		23
UNIT_SIZE_COMPONENT_STANZA_SERVICE_NEGLIGIBLE_RISK_LOC		34
UNIT_SIZE_COMPONENT_STANZA_SERVICE_NEGLIGIBLE_RISK_PERCENTAGE		11.68
